"Clavier",485,"Clavier"
"Souris",486,"Souris"
"Hub usb",972,"Hubs USB"
"Tablette graphique",,
"Ecran",478,"Ecran"
"Clé USB",482,"Clef usb"
"Disque dur externe",481,"Disque dur externe"
"Lecteur graveur externe",480,"Graveur"
"Webcam",487,"Webcam"
"Périphériques de jeu",,
"Réseaux","id ancienne categorie","nom acienne categorie"
"Routeur",479,"Routeur"
"Switch",,
"Clé/carte wifi",,
"GPS","id ancienne categorie","nom acienne categorie"
"GOD voiture","458-461-462","GPS auto, moto, camping car, poids lourd"
"GPS randonnée/marin",459,"GPS rando"
"GPS pour appareils mobiles",463,"Avertisseur de radars"
"GPS moto",460,"GPS moto"
"Outils à moteur","id ancienne categorie","nom acienne categorie"
"Aspirteur et souffleur",120,"Aspirateur"
"Autoportée et rider",,
"Broyeur de végétaux",41,"Broyeur végétal"
"Coupe-bordure et cisaille à gazon",,
"Débroussailleuse",45,"Débroussailleuse"
"Equipement de protection du jardinier",,
"Motobineuse et motoculteur",40,"Motoculteur"
"Scarificateur à moteur",86,"Scarificateur"
"Fendeur de bûche",,
"Taille-haie",42,"Taille-haie"
"Tondeuse autonome",,
"Tondeuse débroussailleuse",,
"Tondeuse et autoporté",,
"Tronçonneuse",39,"Tronçonneuse"
"Outils à main","id ancienne categorie","nom acienne categorie"
"Balais à gazon",,
"Balayeuse sur roue",,
"Bêche, fourche, louchet et houe",,
"Binette, serfouette, gratoir, ratissoire",,
"Brouette",127,"Brouette"
"Chevalet",,
"Cisaille à haie",,
"Désherbeur thermique",85,"Désherbeur thermique"
"Dresse-bordure, cisaille à gazon",,
"Epandeur, rouleau",1012,"Rouleau à gazon"
"Faux, faucille, serpette, machette",,
"Hache, merlin, hachette, masser et coin",,
"Pelle, pioche, tarière",153,"Pelle"
"Rateau, crocs, griffe, émietteur, cultivateur",,
"Scie à buchee, scie à élaguer",,
"Sécateur, ébrancheur, échenilloir",1011,"Échenilloir"
"Arrosage","id ancienne categorie","nom acienne categorie"
"Arrosoir de jardin, seau",,
"Pompe à bras",,
"Pompe d'évacuation",119,"Pompe"
"Films","id ancienne categorie","nom acienne categorie"
"Enfant et jeunesse",,
"Animation japonaise",,
"Action et policier",,
"Fantastique et Science-fiction",,
"Angoisse et horreur",,
"Comédie",,
"Drame et comédie dramatique",,
"Grand classique",,
"Cinema asiatique",,
"Western et guerre",,
"Humour et théâtre",,
"Documentaire et sport",,
"Cinéma gay et lesbienne",,
"Charme et erostisme",,
"Livre","id ancienne categorie","nom acienne categorie"
"BD et jeunesse",656,"BD, Manga"
"Littérature et fiction",,
"Cuisine et société",,
"Art de vicire",,
"Nature et loisirs",,
"Partition",,
"Tableau","id ancienne categorie","nom acienne categorie"
"Musique",,
"Sport et loisir",,
"Gastronomie et Cuisine",,
"Art et concept",,
"Animaux et vie sauvage",,
"Espace et science",,
"Nature et paysage",,
"Architecture et habitat",,
"Vélo","id ancienne categorie","nom acienne categorie"
"Vélos de route",341,"Vélo de course"
"Vélo enfant",,
"Vélo électrique",340,"Vélo électrique"
"Accessoires velo",346,"Accessoire cyclisme"
"BMX",342,"BMX"
"Tandem",1010,"Tandem"
"VTT",343,"VTT"
"VTC",347,"VTC"
"Bateau","id ancienne categorie","nom acienne categorie"
"Bateau à fond plat",782,"Péniche"
"Pédalo",865,"Pédalo"
"Jet ski",860,"Scooter - Jet Ski"
"Monocoques et voiliers",856,"Voilier et catamaran"
"Barque",861,"Barque et Aviron"
"Bateau à console centrale",,
"Bateau à coque metallique soudée",,
"Bateau à jet",,
"Bateau à moteur électrique",,
"Bateau à moteur multicoque",,
"Bateau à plateforme",,
"Bateaux à pont surélevé",,
"Bateau à ponton",,
"Bateau de pèche en aluminium",,
"Bateau de pêche spécialisé",,
"Bateau de pêche tout usage",,
"Bateau de plaisance semi hors-bord",,
"Bateau maison",,
"Bateau ponté",,
"Bateau pour la pêche et le ski nautique",,
"Bateau pour la pêche sportive",,
"Bateau pour la planche nautique à moteur en-bord",,
"Bateau pour le ski nautique à moteur en-bord",,
"Canot",,
"Canot à pont surbaissé",,
"Canot pneumatique",,
"Croiseur à moteur en-bord",,
"Croiseur haute performance",,
"Croiseur multicoque",,
"Croiseur semi hors-bord",,
"Dinghies",,
"Hors-bord à proue fermée",,
"Trawler",,
"Vedette habitable",,
"Yatch",,
"Voilier multicoque",,
"Voilier de tradition",,
"Voilier de luxe",,
"Sport","id ancienne categorie","nom acienne categorie"
"Alpiniste",,
"Badminton",324,"Badmington"
"Basket-Ball",787,"Basketball"
"Bmx",342,"BMX"
"Bodyboard",,
"Boxes",331,"Boxe"
"Canoê-kayak",859,"Canoe Kayak"
"Cerf-volant",,
"Chasse","292-293",
"Course à pied",,
"Danse classique",330,"Danse"
"Dériveur",,
"Equitation",,
"Escalade",311,"Escalade"
"Fitness",314,"Fitness"
"Fléchettes",,
"Football",350,"Football"
"Golf",318,"Golf"
"Gymnastique",334,"Gymnastique"
"Handball",,
"Judo",,
"Karaté",,
"Kung Fu",,
"Marche",,
"Modern Jazz",,
"Natation",,
"Padel",,
"Pêche","290-294",
"Pétanque",278,"Pétanque"
"Planche à voile",300,"Planche à voile"
"Plongée","319-961",
"Raid",,
"Randonnée","358 a 367",
"Roller",327,"Rollers"
"Rugby",949,"Rugby"
"Skateboard",326,"Skateboard"
"Ski",297,"Ski"
"Snowboard",296,"Snowboard"
"Sport de glace",,
"Sports US",,
"Squash",323,"Squash"
"Surf",299,"Surf (mer)"
"Tae knon do",,
"Tennis",322,"Tennis"
"Tennis de table",,
"Tir à l'arc",279,"Tir à l\'arc"
"Trotinnette",,
"Volley-ball",,
"Segway",854,"Segway"
"Char à voile",862,"Char à voile"
"Mini-motos",853,"Mini-motos"
"Jeux","id ancienne categorie","nom acienne categorie"
"Jeux de société",759,"Jeu de société"
"Jeux d'addresse",,
"Jeux de bistrot",,
"Avion","id ancienne categorie","nom acienne categorie"
"Planeur",868,"Planeur"
"Montgolfière",870,"Montgolfière"
"ULM",867,"ULM"
"Jet",866,"Jet et avion"
"Avion moteur à pistons",830,"Avions, Hélicoptères, Jet"
"Avion turbopropulseurs",866,"Jet et avion"
"Hélicoptère","id ancienne categorie","nom acienne categorie"
"Hélicoptère mono-turbine",,
"Helicoptère bi-turbine",,
"Vêtement femme","id ancienne categorie","nom acienne categorie"
"Chemise et blouse",,
"Pull et Gilet",,
"Pantalon et jean",,
"Jupe",,
"Robe",,
"Veste",391,"Vestes"
"Manteau",,
"Vêtement homme","id ancienne categorie","nom acienne categorie"
"Chemise",421,"Haus (Tshirts, chemises, pulls)"
"Pull, gilet et sweat shirt",421,"Haus (Tshirts, chemises, pulls)"
"Pantalon et jean",422,"Bas (pantalons, shorts)"
"Manteau et blouson",,
"Veste et costume",426,"Costume et veste"
"Bijoux","id ancienne categorie","nom acienne categorie"
"Colier",407,"Colllier"
"Boucles d'oreilles",408,"Boucles d\'oreilles"
"Bracelet",409,"Bracelet"
"Bague",410,"Bague"
"Parure",411,"Parure"
"Déguisement","id ancienne categorie","nom acienne categorie"
"Animal",,
"Années 60-70",,
"Aventure",,
"Carnaval",,
"Princesse",,
"Halloween",,
"Historique",,
"Pays du monde",,
"Uniforme",,
"Carnaval",,
"Danse",,
"Père noel",,
"Masque",,
"Perruque",,
"Sexy",,
"Chaussure homme","id ancienne categorie","nom acienne categorie"
"Baskets basses",437,"Chaussures de sport"
"Joggers",,
"Baskets hautes",,
"Boots",,
"Chaussures de ville",439,"Chaussure de ville"
"Chaussures de smoking",440,"Chaussure de smoking"
"Chaussures de marche",952,"Chaussures de marche"
"Chaussures de soirée",434,"Chaussures de soirée"
"Chaussures femme","id ancienne categorie","nom acienne categorie"
"Ballerines",,
"Escarpins",,
"baskets",,
"Bottes",,
"Boots",,
"Mocassins et Derbies",,
"Sandales et Salomés",,
"Chaussures de sport",437,"Chaussures de sport"
"Accesoire homme","id ancienne categorie","nom acienne categorie"
"Ceinture",,
"Cravate",,
"Chapeau",,
"Sac et besace",,
"Accessoire femme","id ancienne categorie","nom acienne categorie"
"Sac",,
"Ceinture",,
"Chèche et foulard",969,"Foulards, écharpes, étoles"
"Lunette de soleil",965,"Lunettes de soleil"
"Chapeau",,
"Alimentation bébé","id ancienne categorie","nom acienne categorie"
"Biberon",738,"Biberon"
"Chaise haute",739,"Chaise haute"
"Chauffe biberon",737,"Chauffe biberon"
"Coussin d'allaitement",743,"Coussin d\'allaitement"
"Cuiseur",741,"Cuiseur"
"Siège de table et réhausseur",740,"Siège de table et réhausseur"
"Stérilisateur de biberon",736,"Stérilisateur de biberon"
"Tire-lait",742,"Tire-lait"
"Déplacements bébé","id ancienne categorie","nom acienne categorie"
"Poussette",719,"Poussette"
"Porte-bébés",721,"Porte-bébé"
"Lits pliants",,
